task_id,condition,repetition,atomic_fact_count,disclosed_fact_count,disclosure_rate,local_evidence_reanchors,audit_code_commit
1,fixed-60,0,4,1,0.25,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,dynamic-60,0,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,fixed-reveal-all,0,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,dynamic-reveal-all,0,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,structured-12,0,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,fixed-12,0,4,2,0.5,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,single-local,0,4,0,0.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,fixed-60,1,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,dynamic-60,1,4,2,0.5,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,fixed-reveal-all,1,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,dynamic-reveal-all,1,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,structured-12,1,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,fixed-12,1,4,1,0.25,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,single-local,1,4,0,0.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,fixed-60,2,4,2,0.5,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,dynamic-60,2,4,3,0.75,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,fixed-reveal-all,2,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,dynamic-reveal-all,2,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,structured-12,2,4,3,0.75,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,fixed-12,2,4,3,0.75,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,single-local,2,4,0,0.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,fixed-60,3,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,dynamic-60,3,4,3,0.75,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,fixed-reveal-all,3,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,dynamic-reveal-all,3,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,structured-12,3,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,fixed-12,3,4,3,0.75,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,single-local,3,4,0,0.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,fixed-60,4,4,3,0.75,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,dynamic-60,4,4,2,0.5,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,fixed-reveal-all,4,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,dynamic-reveal-all,4,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,structured-12,4,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,fixed-12,4,4,3,0.75,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,single-local,4,4,0,0.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,fixed-60,5,4,2,0.5,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,dynamic-60,5,4,1,0.25,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,fixed-reveal-all,5,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,dynamic-reveal-all,5,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,structured-12,5,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,fixed-12,5,4,2,0.5,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,single-local,5,4,0,0.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,fixed-60,6,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,dynamic-60,6,4,3,0.75,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,fixed-reveal-all,6,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,dynamic-reveal-all,6,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,structured-12,6,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,fixed-12,6,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,single-local,6,4,0,0.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,fixed-60,7,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,dynamic-60,7,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,fixed-reveal-all,7,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,dynamic-reveal-all,7,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,structured-12,7,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,fixed-12,7,4,4,1.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
1,single-local,7,4,0,0.0,0,e1b32d3c217960bc331c0c751217011e92dd9d2b
