task_id,repetition,candidate_round,candidate_answer,final_votes,exact_match,candidate_correct,final_correct,saved_public_messages
1,0,2,West City,West City|West City|West City|West City,true,true,true,52
1,1,2,West City,West City|West City|West City|West City,true,true,true,52
1,2,2,West City,West City|West City|West City|West City,true,true,true,52
1,3,2,West City,West City|West City|West City|West City,true,true,true,52
1,4,2,West City,West City|West City|West City|West City,true,true,true,52
1,5,2,West City,West City|West City|West City|West City,true,true,true,52
1,6,2,West City,West City|West City|West City|West City,true,true,true,52
1,7,2,West City,West City|West City|West City|West City,true,true,true,52
1,8,2,West City,West City|West City|West City|West City,true,true,true,52
1,9,2,West City,West City|West City|West City|West City,true,true,true,52
2,0,2,East Town,East Town|East Town|East Town|East Town,true,false,false,52
2,1,2,West City,West City|West City|West City|West City,true,false,false,52
2,2,2,East Town,East Town|East Town|East Town|East Town,true,false,false,52
2,3,2,West City,West City|West City|West City|West City,true,false,false,52
2,4,2,East Town,East Town|East Town|East Town|East Town,true,false,false,52
2,5,2,East Town,East Town|East Town|East Town|East Town,true,false,false,52
2,6,2,West City,West City|West City|West City|West City,true,false,false,52
2,7,2,West City,West City|West City|West City|West City,true,false,false,52
2,8,4,East Town,East Town|East Town|East Town|East Town,true,false,false,44
2,9,2,East Town,East Town|East Town|East Town|East Town,true,false,false,52
3,0,2,North Hill,North Hill|North Hill|North Hill|North Hill,true,false,false,52
3,1,2,East Town,East Town|East Town|East Town|East Town,true,true,true,52
3,2,2,East Town,East Town|East Town|East Town|East Town,true,true,true,52
3,3,2,East Town,East Town|East Town|East Town|East Town,true,true,true,52
3,4,2,North Hill,North Hill|West City|North Hill|West City,false,false,false,52
3,5,2,East Town,East Town|East Town|East Town|East Town,true,true,true,52
3,6,2,East Town,East Town|East Town|East Town|East Town,true,true,true,52
3,7,3,West City,West City|West City|West City|West City,true,false,false,48
3,8,2,East Town,East Town|East Town|East Town|East Town,true,true,true,52
3,9,2,East Town,East Town|East Town|East Town|East Town,true,true,true,52
