condition_task,successes,runs,rate,wilson_95_low,wilson_95_high
dynamic-60:ID1,10,10,1.0,0.7224672001371107,0.9999999999999999
dynamic-60:ID2,2,10,0.2,0.05668215145437519,0.5098375284633583
dynamic-60:ID3,9,10,0.9,0.5958499732047615,0.9821237869049271
dynamic-reveal-all:ID1,10,10,1.0,0.7224672001371107,0.9999999999999999
dynamic-reveal-all:ID2,10,10,1.0,0.7224672001371107,0.9999999999999999
dynamic-reveal-all:ID3,10,10,1.0,0.7224672001371107,0.9999999999999999
fixed-12:ID1,10,10,1.0,0.7224672001371107,0.9999999999999999
fixed-12:ID2,2,10,0.2,0.05668215145437519,0.5098375284633583
fixed-12:ID3,8,10,0.8,0.49016247153664183,0.9433178485456247
fixed-60:ID1,10,10,1.0,0.7224672001371107,0.9999999999999999
fixed-60:ID2,0,10,0.0,0.0,0.2775327998628892
fixed-60:ID3,7,10,0.7,0.39677814746114537,0.8922087325936989
fixed-reveal-all:ID1,10,10,1.0,0.7224672001371107,0.9999999999999999
fixed-reveal-all:ID2,6,10,0.6,0.31267376973365824,0.8318196702937638
fixed-reveal-all:ID3,10,10,1.0,0.7224672001371107,0.9999999999999999
official-global-reveal:ID1,10,10,1.0,0.7224672001371107,0.9999999999999999
official-global-reveal:ID2,10,10,1.0,0.7224672001371107,0.9999999999999999
official-global-reveal:ID3,10,10,1.0,0.7224672001371107,0.9999999999999999
single-local:ID1,2,10,0.2,0.05668215145437519,0.5098375284633583
single-local:ID2,2,10,0.2,0.05668215145437519,0.5098375284633583
single-local:ID3,0,10,0.0,0.0,0.2775327998628892
structured-12:ID1,7,10,0.7,0.39677814746114537,0.8922087325936989
structured-12:ID2,7,10,0.7,0.39677814746114537,0.8922087325936989
structured-12:ID3,10,10,1.0,0.7224672001371107,0.9999999999999999
